Employee_Id,Person ID,Date,Name
14,"CheckInTime2023-09-01 11:42:21	",9/1/2023,"CheckOutTime2023-09-01 20:41:41	"
14,"CheckInTime2023-09-02 12:24:02	",9/2/2023,"CheckOutTime2023-09-02 20:04:09	"
14,"CheckInTime2023-09-04 12:18:49	",9/4/2023,"CheckOutTime2023-09-04 21:21:06	"
14,"CheckInTime2023-09-05 12:08:36	",9/5/2023,"CheckOutTime2023-09-05 21:58:57	"
14,"CheckInTime2023-09-06 11:42:38	",9/6/2023,"CheckOutTime2023-09-06 21:13:25	"
14,"CheckInTime2023-09-08 11:50:28	",9/8/2023,"CheckOutTime	"
14,"CheckInTime2023-09-09 12:19:48	",9/9/2023,"CheckOutTime	"
14,"CheckInTime2023-09-11 12:01:49	",9/11/2023,"CheckOutTime2023-09-11 20:30:48	"
14,"CheckInTime2023-09-12 11:53:43	",9/12/2023,"CheckOutTime2023-09-12 21:51:05	"
14,"CheckInTime2023-09-13 11:58:15	",9/13/2023,"CheckOutTime2023-09-13 21:23:02	"
14,"CheckInTime2023-09-14 11:50:48	",9/14/2023,"CheckOutTime	"
14,"CheckInTime2023-09-15 11:47:26	",9/15/2023,"CheckOutTime	"
14,"CheckInTime2023-09-16 12:06:06	",9/16/2023,"CheckOutTime	"
14,"CheckInTime2023-09-18 11:44:00	",9/18/2023,"CheckOutTime2023-09-18 21:00:49	"
14,"CheckInTime2023-09-19 11:52:24	",9/19/2023,"CheckOutTime2023-09-19 21:21:36	"
14,"CheckInTime2023-09-21 11:57:11	",9/20/2023,"CheckOutTime2023-09-20 21:03:49	"
14,"CheckInTime2023-09-21 11:57:11	",9/21/2023,"CheckOutTime2023-09-21 20:53:10	"
14,"CheckInTime2023-09-22 11:52:12	",9/22/2023,"CheckOutTime	"
14,"CheckInTime2023-09-23 12:01:42	",9/23/2023,"CheckOutTime2023-09-23 20:57:23	"
14,"CheckInTime2023-09-25 11:56:45	",9/25/2023,"CheckOutTime2023-09-25 20:30:00	"
14,"CheckInTime2023-09-26 11:51:09	",9/26/2023,"CheckOutTime2023-09-26 21:22:35	"
14,"CheckInTime	",9/27/2023,"CheckOutTime2023-09-27 21:16:50	"
14,"CheckInTime	",9/28/2023,"CheckOutTime2023-09-28 21:29:31	"
14,"CheckInTime2023-09-30 11:30:29	",9/30/2023,"CheckOutTime2023-09-30 21:00:06	"
16,"CheckInTime2023-09-01 11:11:32	",9/1/2023,"CheckOutTime2023-09-01 18:02:44	"
16,"CheckInTime2023-09-02 11:06:05	",9/2/2023,"CheckOutTime2023-09-02 20:35:46	"
16,"CheckInTime2023-09-04 11:14:21	",9/4/2023,"CheckOutTime2023-09-04 21:25:19	"
16,"CheckInTime2023-09-05 11:21:07	",9/5/2023,"CheckOutTime2023-09-05 21:42:28	"
16,"CheckInTime2023-09-06 11:17:49	",9/6/2023,"CheckOutTime2023-09-06 21:25:42	"
16,"CheckInTime2023-09-08 11:26:45	",9/8/2023,"CheckOutTime2023-09-08 21:18:52	"
16,"CheckInTime2023-09-09 11:21:24	",9/9/2023,"CheckOutTime2023-09-09 21:00:33	"
16,"CheckInTime2023-09-11 11:25:33	",9/11/2023,"CheckOutTime2023-09-11 21:36:55	"
16,"CheckInTime2023-09-12 11:24:08	",9/12/2023,"CheckOutTime2023-09-12 21:34:37	"
16,"CheckInTime2023-09-13 11:55:58	",9/13/2023,"CheckOutTime2023-09-13 21:30:56	"
16,"CheckInTime2023-09-14 11:32:33	",9/14/2023,"CheckOutTime2023-09-14 21:14:41	"
16,"CheckInTime2023-09-15 11:28:15	",9/15/2023,"CheckOutTime2023-09-15 21:19:10	"
16,"CheckInTime2023-09-16 11:12:07	",9/16/2023,"CheckOutTime2023-09-16 19:42:54	"
16,"CheckInTime2023-09-18 11:13:12	",9/18/2023,"CheckOutTime2023-09-18 21:33:49	"
16,"CheckInTime2023-09-19 11:24:22	",9/19/2023,"CheckOutTime2023-09-19 21:27:49	"
16,"CheckInTime2023-09-20 11:24:36	",9/20/2023,"CheckOutTime2023-09-20 21:10:39	"
16,"CheckInTime2023-09-21 11:15:26	",9/21/2023,"CheckOutTime2023-09-21 21:41:10	"
16,"CheckInTime2023-09-22 11:25:07	",9/22/2023,"CheckOutTime2023-09-22 21:23:26	"
16,"CheckInTime2023-09-23 11:31:54	",9/23/2023,"CheckOutTime2023-09-23 20:58:09	"
16,"CheckInTime2023-09-25 11:47:17	",9/25/2023,"CheckOutTime2023-09-25 21:07:23	"
16,"CheckInTime2023-09-26 11:24:53	",9/26/2023,"CheckOutTime2023-09-26 21:34:37	"
16,"CheckInTime2023-09-27 11:24:03	",9/27/2023,"CheckOutTime2023-09-27 21:53:57	"
16,"CheckInTime2023-09-28 11:19:54	",9/28/2023,"CheckOutTime2023-09-28 21:46:31	"
16,"CheckInTime2023-09-30 11:22:39	",9/30/2023,"CheckOutTime2023-09-30 21:20:32	"
17,"CheckInTime2023-09-01 12:50:48	",9/1/2023,"CheckOutTime2023-09-01 21:24:44	"
17,"CheckInTime2023-09-02 12:38:02	",9/2/2023,"CheckOutTime2023-09-02 22:57:50	"
17,"CheckInTime2023-09-04 11:59:08	",9/4/2023,"CheckOutTime2023-09-04 23:14:49	"
17,"CheckInTime2023-09-05 12:13:37	",9/5/2023,"CheckOutTime2023-09-05 22:14:12	"
17,"CheckInTime2023-09-06 12:23:30	",9/6/2023,"CheckOutTime2023-09-06 22:52:32	"
17,"CheckInTime2023-09-08 12:22:55	",9/8/2023,"CheckOutTime2023-09-08 21:47:57	"
17,"CheckInTime2023-09-09 12:16:06	",9/9/2023,"CheckOutTime2023-09-09 21:58:47	"
17,"CheckInTime2023-09-11 12:24:43	",9/11/2023,"CheckOutTime2023-09-12 00:26:43	"
17,"CheckInTime2023-09-12 12:00:42	",9/12/2023,"CheckOutTime2023-09-12 23:49:26	"
17,"CheckInTime2023-09-13 12:38:19	",9/13/2023,"CheckOutTime2023-09-13 21:44:28	"
17,"CheckInTime2023-09-14 12:22:43	",9/14/2023,"CheckOutTime2023-09-14 22:12:48	"
17,"CheckInTime2023-09-15 12:46:47	",9/15/2023,"CheckOutTime2023-09-15 22:41:43	"
17,"CheckInTime2023-09-16 12:27:30	",9/16/2023,"CheckOutTime2023-09-16 22:07:10	"
17,"CheckInTime2023-09-18 12:19:43	",9/18/2023,"CheckOutTime2023-09-19 00:29:34	"
17,"CheckInTime2023-09-20 12:25:55	",9/20/2023,"CheckOutTime2023-09-21 00:07:38	"
17,"CheckInTime	",9/21/2023,"CheckOutTime2023-09-21 22:33:27	"
17,"CheckInTime2023-09-22 12:48:04	",9/22/2023,"CheckOutTime2023-09-22 23:46:42	"
17,"CheckInTime2023-09-23 12:09:07	",9/23/2023,"CheckOutTime2023-09-23 22:07:24	"
17,"CheckInTime2023-09-25 12:30:24	",9/25/2023,"CheckOutTime2023-09-25 21:30:52	"
17,"CheckInTime2023-09-26 11:49:51	",9/26/2023,"CheckOutTime2023-09-26 21:47:10	"
17,"CheckInTime2023-09-27 12:01:12	",9/27/2023,"CheckOutTime2023-09-27 22:37:28	"
17,"CheckInTime2023-09-28 11:55:20	",9/28/2023,"CheckOutTime2023-09-28 22:06:30	"
17,"CheckInTime2023-09-30 12:01:37	",9/30/2023,"CheckOutTime2023-09-30 21:33:08	"
18,"CheckInTime2023-09-01 10:56:30	",9/1/2023,"CheckOutTime2023-09-01 20:52:23	"
18,"CheckInTime2023-09-04 10:46:16	",9/2/2023,"CheckOutTime2023-09-04 20:40:56	"
18,"CheckInTime2023-09-05 10:46:38	",9/5/2023,"CheckOutTime2023-09-05 20:36:11	"
18,"CheckInTime2023-09-06 10:42:59	",9/6/2023,"CheckOutTime2023-09-06 20:36:57	"
18,"CheckInTime2023-09-08 10:42:59	",9/8/2023,"CheckOutTime	"
18,"CheckInTime2023-09-09 10:52:16	",9/9/2023,"CheckOutTime	"
19,"CheckInTime2023-09-01 11:22:56	",9/1/2023,"CheckOutTime2023-09-01 21:43:16	"
19,"CheckInTime2023-09-02 11:29:07	",9/2/2023,"CheckOutTime2023-09-02 20:36:25	"
19,"CheckInTime2023-09-04 12:17:04	",9/4/2023,"CheckOutTime2023-09-04 21:25:31	"
19,"CheckInTime2023-09-05 11:40:31	",9/5/2023,"CheckOutTime2023-09-06 11:52:48	"
19,"CheckInTime	",9/6/2023,"CheckOutTime2023-09-06 21:26:00	"
19,"CheckInTime2023-09-08 11:41:28	",9/8/2023,"CheckOutTime2023-09-08 21:18:31	"
19,"CheckInTime2023-09-09 11:28:45	",9/9/2023,"CheckOutTime2023-09-09 21:01:12	"
19,"CheckInTime2023-09-11 11:54:16	",9/11/2023,"CheckOutTime2023-09-11 21:37:11	"
19,"CheckInTime2023-09-12 11:40:32	",9/12/2023,"CheckOutTime2023-09-12 21:34:27	"
19,"CheckInTime2023-09-13 11:29:53	",9/13/2023,"CheckOutTime2023-09-13 21:45:12	"
19,"CheckInTime2023-09-14 11:29:11	",9/14/2023,"CheckOutTime2023-09-14 21:14:56	"
19,"CheckInTime2023-09-15 11:44:58	",9/15/2023,"CheckOutTime2023-09-15 21:19:23	"
19,"CheckInTime2023-09-16 11:47:33	",9/16/2023,"CheckOutTime	"
19,"CheckInTime2023-09-18 11:42:39	",9/18/2023,"CheckOutTime2023-09-18 21:46:28	"
19,"CheckInTime2023-09-19 11:37:02	",9/19/2023,"CheckOutTime2023-09-19 21:28:03	"
19,"CheckInTime2023-09-20 11:48:10	",9/20/2023,"CheckOutTime2023-09-20 21:10:12	"
19,"CheckInTime2023-09-22 11:00:48	",9/22/2023,"CheckOutTime2023-09-22 21:12:18	"
19,"CheckInTime2023-09-23 12:03:13	",9/23/2023,"CheckOutTime2023-09-23 20:58:17	"
19,"CheckInTime2023-09-25 11:54:16	",9/25/2023,"CheckOutTime2023-09-25 21:07:36	"
19,"CheckInTime2023-09-26 11:43:32	",9/26/2023,"CheckOutTime2023-09-26 21:33:16	"
19,"CheckInTime2023-09-27 11:46:40	",9/27/2023,"CheckOutTime2023-09-27 21:54:15	"
19,"CheckInTime2023-09-28 12:13:34	",9/28/2023,"CheckOutTime2023-09-28 21:43:01	"
19,"CheckInTime2023-09-30 11:36:16	",9/30/2023,"CheckOutTime2023-09-30 21:20:42	"
20,"CheckInTime2023-09-01 11:54:22	",9/1/2023,"CheckOutTime2023-09-01 20:34:02	"
20,"CheckInTime2023-09-02 11:58:39	",9/2/2023,"CheckOutTime2023-09-02 20:04:00	"
20,"CheckInTime2023-09-04 12:10:24	",9/4/2023,"CheckOutTime2023-09-04 21:32:37	"
20,"CheckInTime2023-09-05 14:15:25	",9/5/2023,"CheckOutTime2023-09-05 20:48:45	"
20,"CheckInTime2023-09-06 14:53:35	",9/6/2023,"CheckOutTime2023-09-06 20:58:10	"
20,"CheckInTime2023-09-08 11:52:05	",9/8/2023,"CheckOutTime2023-09-08 20:40:01	"
20,"CheckInTime2023-09-11 12:23:23	",9/11/2023,"CheckOutTime	"
20,"CheckInTime2023-09-12 14:58:27	",9/12/2023,"CheckOutTime2023-09-12 21:19:32	"
20,"CheckInTime2023-09-13 14:52:01	",9/13/2023,"CheckOutTime2023-09-13 21:14:21	"
20,"CheckInTime2023-09-14 14:49:25	",9/14/2023,"CheckOutTime2023-09-14 20:58:32	"
20,"CheckInTime2023-09-15 12:07:40	",9/15/2023,"CheckOutTime2023-09-15 20:40:55	"
20,"CheckInTime2023-09-16 13:28:54	",9/16/2023,"CheckOutTime2023-09-16 21:17:09	"
20,"CheckInTime2023-09-18 14:26:25	",9/18/2023,"CheckOutTime	"
20,"CheckInTime2023-09-19 14:40:52	",9/19/2023,"CheckOutTime2023-09-19 21:15:03	"
20,"CheckInTime2023-09-20 14:24:30	",9/20/2023,"CheckOutTime	"
20,"CheckInTime2023-09-21 14:44:00	",9/21/2023,"CheckOutTime2023-09-21 20:44:14	"
20,"CheckInTime2023-09-22 12:46:36	",9/22/2023,"CheckOutTime2023-09-22 21:16:53	"
20,"CheckInTime2023-09-23 11:57:36	",9/23/2023,"CheckOutTime2023-09-23 20:45:53	"
20,"CheckInTime2023-09-25 14:51:04	",9/25/2023,"CheckOutTime2023-09-25 21:14:30	"
20,"CheckInTime2023-09-26 14:44:03	",9/26/2023,"CheckOutTime2023-09-26 21:17:06	"
20,"CheckInTime2023-09-27 14:47:15	",9/27/2023,"CheckOutTime2023-09-27 21:32:45	"
20,"CheckInTime2023-09-28 14:50:28	",9/28/2023,"CheckOutTime2023-09-28 20:55:23	"
20,"CheckInTime2023-09-30 11:57:52	",9/30/2023,"CheckOutTime2023-09-30 20:53:07	"
21,"CheckInTime2023-09-01 11:12:06	",9/1/2023,"CheckOutTime	"
21,"CheckInTime2023-09-02 11:39:55	",9/2/2023,"CheckOutTime2023-09-02 19:16:14	"
21,"CheckInTime2023-09-04 11:04:34	",9/4/2023,"CheckOutTime2023-09-04 19:33:05	"
21,"CheckInTime2023-09-05 11:20:25	",9/5/2023,"CheckOutTime2023-09-05 19:37:18	"
21,"CheckInTime2023-09-06 10:35:44	",9/6/2023,"CheckOutTime2023-09-06 19:32:41	"
21,"CheckInTime2023-09-08 10:56:58	",9/8/2023,"CheckOutTime2023-09-08 19:42:26	"
21,"CheckInTime2023-09-09 11:14:11	",9/9/2023,"CheckOutTime2023-09-09 18:59:55	"
21,"CheckInTime2023-09-11 11:01:51	",9/11/2023,"CheckOutTime2023-09-11 19:22:21	"
21,"CheckInTime2023-09-12 11:12:53	",9/12/2023,"CheckOutTime2023-09-12 19:27:07	"
21,"CheckInTime2023-09-13 10:53:06	",9/13/2023,"CheckOutTime2023-09-13 19:29:13	"
21,"CheckInTime2023-09-14 11:03:13	",9/14/2023,"CheckOutTime2023-09-14 19:28:13	"
21,"CheckInTime2023-09-15 11:06:02	",9/15/2023,"CheckOutTime2023-09-15 19:28:43	"
21,"CheckInTime2023-09-16 11:13:54	",9/16/2023,"CheckOutTime2023-09-16 17:29:23	"
21,"CheckInTime2023-09-18 11:27:15	",9/18/2023,"CheckOutTime2023-09-18 19:27:14	"
21,"CheckInTime2023-09-19 11:03:23	",9/19/2023,"CheckOutTime2023-09-19 19:31:49	"
21,"CheckInTime2023-09-20 11:36:56	",9/20/2023,"CheckOutTime2023-09-20 19:17:38	"
21,"CheckInTime2023-09-21 11:11:45	",9/21/2023,"CheckOutTime2023-09-21 19:31:58	"
21,"CheckInTime2023-09-22 11:10:28	",9/22/2023,"CheckOutTime2023-09-22 19:31:42	"
21,"CheckInTime2023-09-23 11:02:54	",9/23/2023,"CheckOutTime	"
21,"CheckInTime2023-09-25 11:14:39	",9/25/2023,"CheckOutTime2023-09-25 19:27:06	"
21,"CheckInTime2023-09-26 10:52:27	",9/26/2023,"CheckOutTime2023-09-26 19:24:48	"
21,"CheckInTime2023-09-27 11:08:16	",9/27/2023,"CheckOutTime2023-09-27 19:15:47	"
21,"CheckInTime2023-09-28 11:06:40	",9/28/2023,"CheckOutTime	"
21,"CheckInTime2023-09-30 11:07:46	",9/30/2023,"CheckOutTime2023-09-30 19:26:27	"
22,"CheckInTime2023-09-01 11:29:48	",9/1/2023,"CheckOutTime2023-09-01 21:07:25	"
22,"CheckInTime2023-09-02 11:32:08	",9/2/2023,"CheckOutTime2023-09-02 22:08:59	"
22,"CheckInTime2023-09-05 11:24:24	",9/4/2023,"CheckOutTime2023-09-04 22:54:39	"
22,"CheckInTime2023-09-05 11:24:24	",9/5/2023,"CheckOutTime2023-09-05 22:10:55	"
22,"CheckInTime2023-09-06 11:16:55	",9/6/2023,"CheckOutTime2023-09-06 22:37:15	"
22,"CheckInTime2023-09-08 11:45:26	",9/8/2023,"CheckOutTime	"
22,"CheckInTime2023-09-09 11:11:05	",9/9/2023,"CheckOutTime2023-09-09 21:51:36	"
22,"CheckInTime2023-09-11 11:15:35	",9/11/2023,"CheckOutTime2023-09-11 23:44:38	"
22,"CheckInTime2023-09-12 11:18:42	",9/12/2023,"CheckOutTime2023-09-12 23:23:52	"
22,"CheckInTime2023-09-13 11:27:53	",9/13/2023,"CheckOutTime2023-09-13 21:30:11	"
22,"CheckInTime2023-09-14 11:20:10	",9/14/2023,"CheckOutTime2023-09-14 21:57:24	"
22,"CheckInTime2023-09-15 10:53:09	",9/15/2023,"CheckOutTime2023-09-15 22:23:39	"
22,"CheckInTime2023-09-16 11:11:25	",9/16/2023,"CheckOutTime2023-09-16 21:40:57	"
22,"CheckInTime2023-09-18 11:25:52	",9/18/2023,"CheckOutTime2023-09-18 23:40:52	"
22,"CheckInTime2023-09-19 11:22:56	",9/19/2023,"CheckOutTime2023-09-19 21:52:34	"
22,"CheckInTime2023-09-20 11:21:38	",9/20/2023,"CheckOutTime2023-09-20 22:40:16	"
22,"CheckInTime2023-09-21 11:18:25	",9/21/2023,"CheckOutTime2023-09-21 22:20:37	"
22,"CheckInTime2023-09-23 11:24:53	",9/22/2023,"CheckOutTime2023-09-22 22:52:14	"
22,"CheckInTime2023-09-23 11:24:53	",9/23/2023,"CheckOutTime2023-09-23 21:49:50	"
22,"CheckInTime2023-09-25 11:16:57	",9/25/2023,"CheckOutTime2023-09-25 21:27:28	"
22,"CheckInTime2023-09-26 11:19:18	",9/26/2023,"CheckOutTime2023-09-26 21:44:34	"
22,"CheckInTime2023-09-27 11:15:22	",9/27/2023,"CheckOutTime2023-09-27 22:36:49	"
22,"CheckInTime2023-09-28 11:11:58	",9/28/2023,"CheckOutTime2023-09-28 22:21:10	"
22,"CheckInTime2023-09-30 11:20:55	",9/30/2023,"CheckOutTime2023-09-30 21:32:55	"
23,"CheckInTime2023-09-01 11:33:52	",9/1/2023,"CheckOutTime2023-09-01 21:08:40	"
23,"CheckInTime2023-09-02 11:06:15	",9/2/2023,"CheckOutTime2023-09-02 22:11:14	"
23,"CheckInTime2023-09-04 10:44:02	",9/4/2023,"CheckOutTime2023-09-04 22:55:03	"
23,"CheckInTime2023-09-05 10:46:25	",9/5/2023,"CheckOutTime2023-09-05 22:13:13	"
23,"CheckInTime2023-09-06 10:35:31	",9/6/2023,"CheckOutTime2023-09-06 22:51:14	"
23,"CheckInTime2023-09-08 10:40:42	",9/8/2023,"CheckOutTime2023-09-08 21:41:01	"
23,"CheckInTime2023-09-09 10:52:24	",9/9/2023,"CheckOutTime2023-09-09 21:58:54	"
23,"CheckInTime2023-09-11 10:35:55	",9/11/2023,"CheckOutTime2023-09-11 23:45:05	"
23,"CheckInTime2023-09-12 10:35:44	",9/12/2023,"CheckOutTime2023-09-12 23:24:06	"
23,"CheckInTime2023-09-13 10:32:32	",9/13/2023,"CheckOutTime2023-09-13 21:29:30	"
23,"CheckInTime2023-09-14 10:56:23	",9/14/2023,"CheckOutTime2023-09-14 22:03:47	"
23,"CheckInTime2023-09-15 11:32:48	",9/15/2023,"CheckOutTime2023-09-15 22:23:54	"
23,"CheckInTime2023-09-16 11:02:25	",9/16/2023,"CheckOutTime2023-09-16 22:03:43	"
23,"CheckInTime2023-09-18 10:59:40	",9/18/2023,"CheckOutTime2023-09-18 23:43:20	"
23,"CheckInTime2023-09-19 10:37:16	",9/19/2023,"CheckOutTime2023-09-19 21:55:06	"
23,"CheckInTime2023-09-20 10:36:20	",9/20/2023,"CheckOutTime2023-09-20 22:27:01	"
23,"CheckInTime2023-09-21 10:34:50	",9/21/2023,"CheckOutTime2023-09-21 22:22:42	"
23,"CheckInTime2023-09-22 10:36:52	",9/22/2023,"CheckOutTime2023-09-22 23:01:29	"
23,"CheckInTime2023-09-23 16:49:46	",9/23/2023,"CheckOutTime2023-09-23 21:54:58	"
23,"CheckInTime2023-09-28 14:05:20	",9/28/2023,"CheckOutTime	"
24,"CheckInTime2023-09-01 12:22:03	",9/1/2023,"CheckOutTime2023-09-01 20:41:36	"
24,"CheckInTime2023-09-02 15:18:00	",9/2/2023,"CheckOutTime2023-09-02 20:11:47	"
24,"CheckInTime2023-09-04 11:40:36	",9/4/2023,"CheckOutTime2023-09-04 21:03:48	"
24,"CheckInTime2023-09-05 11:45:24	",9/5/2023,"CheckOutTime2023-09-05 20:05:02	"
24,"CheckInTime2023-09-06 13:18:24	",9/6/2023,"CheckOutTime	"
24,"CheckInTime2023-09-08 10:53:10	",9/8/2023,"CheckOutTime2023-09-08 21:00:31	"
24,"CheckInTime2023-09-11 11:25:01	",9/11/2023,"CheckOutTime2023-09-11 21:02:04	"
24,"CheckInTime2023-09-12 11:22:39	",9/12/2023,"CheckOutTime2023-09-12 21:00:20	"
24,"CheckInTime2023-09-13 11:44:11	",9/13/2023,"CheckOutTime2023-09-13 20:47:50	"
24,"CheckInTime2023-09-14 11:52:52	",9/14/2023,"CheckOutTime2023-09-14 20:55:51	"
24,"CheckInTime2023-09-15 11:12:19	",9/15/2023,"CheckOutTime2023-09-15 20:56:28	"
24,"CheckInTime2023-09-16 11:46:17	",9/16/2023,"CheckOutTime2023-09-16 20:41:31	"
24,"CheckInTime2023-09-18 11:40:35	",9/18/2023,"CheckOutTime2023-09-18 20:31:26	"
24,"CheckInTime2023-09-19 11:19:22	",9/19/2023,"CheckOutTime2023-09-19 21:01:58	"
24,"CheckInTime2023-09-20 11:15:53	",9/20/2023,"CheckOutTime2023-09-20 20:39:21	"
24,"CheckInTime2023-09-21 11:26:47	",9/21/2023,"CheckOutTime2023-09-21 20:55:05	"
24,"CheckInTime2023-09-22 13:21:54	",9/22/2023,"CheckOutTime2023-09-22 19:40:04	"
24,"CheckInTime2023-09-30 11:42:37	",9/30/2023,"CheckOutTime2023-09-30 20:46:25	"
25,"CheckInTime2023-09-01 12:02:04	",9/1/2023,"CheckOutTime2023-09-01 20:05:10	"
